location	street	city	state	zip	lat	lng
Ozarks Technical Community College	1001 E. Chestnut Expressway	Springfield	MO	65802	37.2158469	-93.2817815
State of Missouri: Department of Social Services -- Greene County Family Support Division	101 Park Central Square	Springfield	MO	65806	37.2092913	-93.2915463
"Child Advocacy Center, Inc."	1033 E. Walnut St.	Springfield	MO	65806	37.2069774	-93.279093
CASA of Southwest Missouri	"1111 S. Glenstone Ave., Suite 2-100"	Springfield	MO	65804	37.1942071	-93.2629369
Girls on the Run of Southwest Missouri	1111 S. Glenstone Ste 120	Springfield	MO	65814	37.1942071	-93.2629369
Drew Lewis Foundation at the Fairbanks	1126 N. Broadway Ave.	Springfield	MO	65802	37.220602	-93.302297
Great Circle (formerly Boys and Girls Town of Missouri)	1212 W. Lombard St.	Springfield	MO	65806	37.1985049	-93.3068263
Mercy Family Resource Center	"1235 E. Cherokee St., 1H"	Springfield	MO	65804	37.1795739	-93.2749077
Burrell Behavioral Health	1300 Bradford Parkway	Springfield	MO	65804	37.1461773	-93.2748645
Adoption for Families and Family Therapy of the Ozarks	"1310 E. Kingsley, Suite C"	Springfield	MO	65804	37.1396231	-93.2753318
Mercy Clinic Behavioral Health - Lark	1312 E. Lark St.	Springfield	MO	65804	37.1349807	-93.2744729
Operation Us at the Murney Clinic	1322 S. Campbell Ave.	Springfield	MO	65807	37.190848	-93.2941714
OneSolePurpose	1325 W. Sunshine #125	Springfield	MO	65807	37.1829597	-93.3093839
Pregnancy Care Center	"1342 E. Primrose St., Suite C"	Springfield	MO	65804	37.1473296	-93.2738472
First Steps (System Point of Entry) (SPOE)	"1370 E. Primrose Ave., Suite A"	Springfield	MO	65804	37.1474079	-93.2726548
Abilities First	"1370 E. Primrose St., Suite A"	Springfield	MO	65804	37.1474079	-93.2726548
Boys & Girls Clubs of Springfield Partners in Education (formerly Auxiliary)	1410 N. Fremont Ave.	Springfield	MO	65802	37.224126	-93.2696664
"Boys & Girls Clubs of Springfield, Inc."	1410 N. Fremont Ave.	Springfield	MO	65802	37.224126	-93.2696664
State of Missouri: Veterans Commission	"1410 S. Kansas Expressway, Room 115"	Springfield	MO	65807	37.1889846	-93.3169484
State of Missouri: Family Support Division -- Child Support Enforcement	"1410 S. Kansas Expressway, Suite 100"	Springfield	MO	65807	37.1889846	-93.3169484
Springfield Public Schools: Parents As Teachers (PAT) /Early Childhood Education	1423 W. Atlantic St.	Springfield	MO	65803	37.234069	-93.308966
Springfield Public Schools: Teen Parent Program	1423 W. Atlantic St.	Springfield	MO	65803	37.234069	-93.308966
NAMI Southwest Missouri	"1443 N Robberson Ave., Suite 408"	Springfield	MO	65802	37.224188	-93.291416
Eldercare Transit Service	1461 E. Seminole St.	Springfield	MO	65804	37.1747745	-93.2693956
