A Sporting Chance for Special Populations,HEALTH
A Sporting Chance for Special Populations,TRANSPORTATION
A.O. Treatment Services,HEALTH
A.O. Treatment Services,TRANSPORTATION
AARP Smart Driver Course (formerly AARP Safe Driving Program),TRANSPORTATION
Abilities First,HEALTH
Across The Life Span (ATLS),EMPLOYMENT
Adoption for Families and Family Therapy of the Ozarks,HEALTH
Adoption Triad of the Ozarks,EDUCATION
Adoption Triad of the Ozarks,HEALTH
Air and Military Museum of the Ozarks,EDUCATION
Al-Anon Family Groups,HEALTH
Alcoholics Anonymous (AA),HEALTH
"Alpha Delta Kappa, Psi Chapter",EDUCATION
ALS Association Mid-America Chapter,EDUCATION
ALS Association Mid-America Chapter,HEALTH
"Alzheimer's Disease and Related Disorders, Greater Missouri Chapter",EDUCATION
Ambassadors for Children,CLOTHING
Ambassadors for Children,EMPLOYMENT
Ambassadors for Children,HEALTH
Ambassadors for Children,SPIRITUAL
Ambassadors for Children,TRANSPORTATION
American Advertising Federation (AAF) of the Ozarks,EDUCATION
American Association of University Women (AAUW),EDUCATION
"American Cancer Society, Southwest Missouri Office",HEALTH
American Civil Liberties Union of Kansas (ACLU),EDUCATION
American Civil Liberties Union of Kansas (ACLU),HEALTH
"American Contract Bridge League, Southwest Missouri Unit 101",EDUCATION
American Diabetes Association - Missouri Chapter,EDUCATION
American Diabetes Association - Missouri Chapter,HEALTH
American Heart Association,EDUCATION
American Heart Association,HEALTH
American Indian Council Employment and Training,EMPLOYMENT
"American Legion Post 1214, Women Veterans of Southwest Missouri",EMPLOYMENT
American Lung Association in Missouri,EDUCATION
"American Red Cross, Southern Missouri",HEALTH
America's Wildlife Museum & Aquarium (formerly Wonders of Wildlife),HOMELESS
Animal Abuse Council,HEALTH
Animal Abuse Council,LEGAL
Animal Abuse Council,TRANSPORTATION
"APO (formerly AIDS Project of the Ozarks, Inc.)",EDUCATION
"APO (formerly AIDS Project of the Ozarks, Inc.)",HEALTH
Ashley House (formerly Regional Girls Shelter),HEALTH
Ashley House (formerly Regional Girls Shelter),HOMELESS
Ashley House (formerly Regional Girls Shelter),LEGAL
Ashley House (formerly Regional Girls Shelter),TRANSPORTATION
Ashley House Auxiliary (formerly Regional Girls Shelter Auxiliary),HEALTH
Ashley House Auxiliary (formerly Regional Girls Shelter Auxiliary),HOMELESS
Ashley House Auxiliary (formerly Regional Girls Shelter Auxiliary),TRANSPORTATION
Assisting Consumers Through Technology (ACTT),EMPLOYMENT
Association for the Blind,HEALTH
"Association of Fundraising Professionals, Ozarks Region",EDUCATION
"Association of Information Technology Professionals, Southwest Missouri Chapter",EDUCATION
"Association of Information Technology Professionals, Southwest Missouri Chapter",EMPLOYMENT
"Association of Professionals in Infection Control and Epidemiology, Inc.",HEALTH
AYUSA Global Youth Exchange,EDUCATION
AYUSA Global Youth Exchange,HOMELESS
Beekeepers Association of the Ozarks,EDUCATION
"Better Business Bureau of Southwest Missouri, Inc.",TRANSPORTATION
Bill's Place -- Burrell Behavioral Health Homeless Services,HEALTH
Bill's Place -- Burrell Behavioral Health Homeless Services,HOMELESS
Boys & Girls Clubs of Springfield Partners in Education (formerly Auxiliary),EDUCATION
"Boys & Girls Clubs of Springfield, Inc.",EDUCATION
"Brain Injury Association of America, Springfield, Missouri, Chapter",EDUCATION
"Brain Injury Association of America, Springfield, Missouri, Chapter",HEALTH
Brain Injury Support Group,HEALTH
Breaking Traditions,EDUCATION
Breast Cancer Foundation of the Ozarks,EDUCATION
Breast Cancer Foundation of the Ozarks,HEALTH
Burrell Behavioral Health,EDUCATION
Burrell Behavioral Health,HEALTH
Buttonhole Babes Appliqué Group,EDUCATION
C.A.R.E. Animal Rescue ,EMPLOYMENT
C.A.R.E. Animal Rescue ,HEALTH
C.A.R.E. Animal Rescue ,HOMELESS
C.A.R.E. Animal Rescue ,TRANSPORTATION
Camp Barnabas,HEALTH
Cancer Research for the Ozarks (CRO),EMPLOYMENT
Cancer Research for the Ozarks (CRO),HEALTH
Care to Learn,EDUCATION
Care to Learn,FOOD
Care to Learn,HEALTH
CASA of Southwest Missouri,HEALTH
CASA of Southwest Missouri,LEGAL
CASA of Southwest Missouri,TRANSPORTATION
"Catholic Charities of Southern Missouri, Inc.",HEALTH
"Catholic Charities of Southern Missouri, Inc.",HOMELESS
Center City Counseling Clinic,HEALTH
Center for Dispute Resolution,EDUCATION
Center for Dispute Resolution,EMPLOYMENT
Champion Athletes of the Ozarks,EDUCATION
Champion Athletes of the Ozarks,EMPLOYMENT
Champion Athletes of the Ozarks,HEALTH
CHANCES of Stone County,HEALTH
Chase Educational Foundation,TRANSPORTATION
"Cherry Court Garden Club, FGCM",HEALTH
"Child Advocacy Center, Inc.",HEALTH
"Child Advocacy Center, Inc.",TRANSPORTATION
Child Care Food Program,FOOD
Child Care Food Program,SPIRITUAL
"Child Evangelism Fellowship of Missouri, Inc., Springfield Chapter",SPIRITUAL
Children's Choirs of Southwest Missouri,EDUCATION
Children's Miracle Network of CoxHealth,HEALTH
Children's Smile Center,HEALTH
Christian County Family Crisis Center (aka Freedom's Rest),HEALTH
Christian County Family Crisis Center (aka Freedom's Rest),HOMELESS
Christian County Retired School Personnel,EDUCATION
Christian Health and Rehab,HEALTH
City of Springfield: Air Quality Section,HEALTH
City of Springfield: Animal Shelter,HOMELESS
City of Springfield: Crime Prevention/Safety Education,EDUCATION
City of Springfield: Crime Prevention/Safety Education,TRANSPORTATION
City of Springfield: Department of Environmental Services,HEALTH
City of Springfield: Department of Environmental Services,TRANSPORTATION
City of Springfield: Finance Department,TRANSPORTATION
City of Springfield: Fire Department,HEALTH
City of Springfield: Fire Department,HOMELESS
City of Springfield: Household Chemical Collection Center,EDUCATION
City of Springfield: Household Chemical Collection Center,HOMELESS
City of Springfield: Land Clearance for Redevelopment Authority,HOMELESS
City of Springfield: Mayor's Commission for Children,EDUCATION
City of Springfield: Mayor's Commission on Human Rights and Community Relations,HOMELESS
City of Springfield: Municipal Court,TRANSPORTATION
City of Springfield: Solid Waste Management Division,EDUCATION
City of Springfield: Solid Waste Management Division,HEALTH
City of Springfield: Solid Waste Management Division,HOMELESS
City of Springfield: Stormwater Quality Division,EDUCATION
City of Springfield: Stormwater Quality Division,HEALTH
City of Springfield: Sustainability Division,EDUCATION
City of Springfield: Sustainability Division,FOOD
City of Springfield: Sustainability Division,HEALTH
City of Springfield: Sustainability Division,TRANSPORTATION
City Utilities,TRANSPORTATION
City Utilities: Access Express,TRANSPORTATION
